CS_angle,F_alt,rate_HC,P_angle,Windspeed,Airspeed,Engine_thrust,Attack_angle,P_rate,Roll_rate,Yaw_rate
3.4672,8.184,-77.8863,0.175927,73.52,168,8.393,5,-11.1,22.4,23.2
3.0786,8.909,51.2184,0.722771,46.46,126,8.222,3.5,-28.6,21.6,20
3.8065,9.194,12.8465,0.124794,60.19,140,10.272,2.7,-7.6,9.2,-27.8
3.9982,10.473,81.8392,-0.126401,34.43,135,7.994,2.9,0.7,6,16.4
1.7649,9.266,86.3038,-0.060046,79.44,186,10.81,3.7,-21.6,-23.9,-23.5
0.6103,9.111,44.7476,0.204346,66.49,115,10.876,2.2,-11.9,16.4,-11.4
0.0158,11.335,87.3034,0.248402,73.22,69,9.746,2.2,-24.4,22.9,7.3
0.0337,8.353,100.7161,-0.274439,60.45,106,10.635,4.5,31.8,-11.6,-18.6
3.3886,8.193,-9.6596,-0.205542,69.65,64,9.233,2.3,-4.5,14.6,-0.2
0.5322,10.581,-29.3201,-0.303013,71.03,153,7.209,4.2,6,-19.5,-7.7
4.4016,9.646,145.1275,0.232667,66.6,66,8.229,4.4,13.1,24.8,-12.2
3.9998,8.185,-19.3108,-0.076046,55.2,134,8.825,3,22.9,1.2,27
1.1919,8.375,35.4232,-0.256747,61.77,135,8.224,2.2,-19.7,7.6,13.7
2.5531,8.788,-19.0386,0.625268,74.54,122,8.625,2.2,-20.6,-3.5,9.8
1.8289,10.643,-84.6864,0.512416,63.64,167,7.718,2,11.8,-1,10.6
0.0671,9.048,46.8452,0.332729,32.41,146,7.211,3.3,0.3,2,-14.3
2.9722,11.392,23.957,0.456602,32.31,176,10.494,4.7,14.6,7,-12.4
4.9317,11.829,138.8927,0.055701,69.03,158,9.165,3.5,-24.7,-9.9,-2.3
1.5285,8.152,-60.0019,-0.074865,61.65,77,7.108,4.4,-0.5,-17.6,-27.5
0.3774,11.465,61.4143,0.102117,64.69,156,8.135,4.5,-13.7,-20,13.6
4.8631,10.006,149.9113,-0.221864,71.66,52,7.828,4.9,22.7,-7.9,-3.9
4.4873,8.174,108.8795,0.135302,31.2,109,10.341,2.1,-6,11.9,17.8
4.7354,9.937,-94.4648,-0.346399,79.72,101,8.496,3.2,-25.5,3,26.2
1.2098,8.946,-29.9233,-0.182225,33.61,164,10.784,3.4,-9.1,23.4,-21
3.358,8.217,-0.4611,-0.038561,46.12,183,8.366,3.6,40.6,22.9,28.3
2.6397,10.614,136.828,-0.451954,67.04,165,7.568,2.8,10.5,19.1,1.5
3.5196,11.801,128.5037,-0.419337,61.58,172,7.363,3.7,17.8,-13.5,2.8
2.2074,11.091,-28.4041,0.268494,61.2,94,8.462,3.8,30.7,-8.3,19.7
2.026,11.915,-85.8114,0.67619,40.41,173,7.893,4.6,4,20.6,20.5
2.7312,10.323,-81.4511,-0.381929,73.01,120,10.73,2.6,-23,24.1,15.3
1.6251,11.64,-34.2159,-0.320098,30.44,79,9.464,4.1,-21.6,9.9,-3.8
0.3997,11.882,121.692,-0.011898,41.6,105,10.749,2,44.6,-2.6,-14.4
1.2517,11.368,142.7102,0.023306,57.02,57,8.943,2,-2.7,10,27.2
3.6457,9.353,-66.66,-0.25343,32.19,141,8.759,2.2,-21.1,-13.3,-3.7
4.0657,11.677,-8.4783,0.318161,68.98,80,7.056,3.4,-14.7,5.2,3.9
4.7474,8.077,65.6039,-0.395929,72.97,112,10.661,2.7,-4.6,-0.5,-19.1
4.0788,11.201,-6.6745,-0.157776,42.58,78,9.621,3.9,-2.8,-0.1,-29.3
4.5203,8.039,-75.2803,0.047037,46.53,58,9.559,2.7,30.3,-0.9,-20.3
1.7345,9.932,8.1431,-0.213279,41.54,48,8.705,2,3.4,7.8,22.9
2.6593,8.677,12.5347,0.019541,32.56,146,8.988,3.1,34.6,4.3,23
0.3535,11.595,123.3483,-0.287509,69.64,192,10.21,4.3,43.5,7.9,-4.9
0.3058,11.732,38.1655,0.196275,57.39,67,10.831,5,5.6,-2.8,-1.9
1.5081,8.516,78.3257,-0.423064,52.06,61,7.74,4.6,10.2,15.7,-16.9
3.9862,9.087,-98.6608,-0.137799,45.5,73,10.86,3.5,-3.3,-8,-24.2
4.459,8.277,31.8939,0.617337,47.33,168,10.27,4.9,10.4,-14.9,-10.6
1.2222,8.203,137.6159,-0.065454,65.45,45,10.082,4.2,-19.4,18.8,22.7
2.1775,9.676,151.3445,0.227164,48.73,127,10.752,2.3,-10.7,2.9,-25.1
0.9483,9.85,20.2648,0.381865,52.84,101,10.431,3.9,0,8.2,-16
3.5593,11.433,96.2062,0.47101,53.05,178,9.056,4.5,8.3,-24.4,-5.1
2.2629,9.811,-98.4255,-0.069651,78.84,200,7.089,3.7,25.9,-5.3,-22.4
0.3222,11.288,-20.9054,0.566398,47.5,196,10.845,4.8,21.7,-18.1,13.4
0.8732,9.048,89.4222,0.419343,35,131,7.617,4.6,-12.8,-13.8,22.9
0.9289,10.523,-90.6273,0.336179,50.37,198,9.843,3.6,3,-23.2,-7.3
1.2565,9.636,78.6016,0.527689,77.49,57,7.874,4.5,-9.8,0.4,25.1
2.0657,10.196,67.7921,0.455815,58.55,162,7.007,3.3,-10.1,11.8,-11.3
4.9288,8.683,53.1775,-0.167142,36.68,103,8.985,4.7,26.8,-8.1,18.4
3.823,8.684,148.8187,0.143765,65.36,72,7.412,4.5,-1.4,-15.6,-19.1
0.2957,10.542,80.9909,-0.420368,41.06,134,8.209,3.5,13.3,10.2,-4.4
3.0235,10.872,58.778,0.718658,62.01,74,9.465,2.5,37.7,-21.4,25.7
3.982,9.94,57.2115,-0.481686,44.75,182,7.751,3.6,-12.3,16.8,20.7
2.3756,11.366,-59.2442,0.232064,62.2,43,9.752,5,-7.1,3.3,3.1
2.9954,10.904,-65.7286,0.718702,77.23,44,9.626,2.4,34.2,-19.7,12.7
4.5643,9.296,29.0622,-0.497402,54.38,159,8.835,2.5,-11.7,11.7,-13.2
3.2806,9.922,-46.2166,0.284027,56.69,152,10.094,4.7,4.4,-13,3
0.2439,10.033,-9.9946,-0.302251,42.48,92,9.157,3.7,1.7,-22.1,25.3
3.0188,11.608,27.2814,0.641016,38.93,68,7.514,3.3,20.6,24,-29.9
0.7265,10.296,117.5287,0.484222,55.33,153,9.036,2.7,20,-11,17.2
2.0434,8.04,81.6569,0.467888,78.37,196,9.003,2,34.6,-19.5,-11.5
0.8932,11.824,25.9237,0.706214,63.04,171,7.014,3.7,16.1,15.9,29.6
0.6905,8.913,20.5924,0.288747,39.74,44,10.61,4.7,27.9,4.2,13.3
1.3742,9.87,75.8513,0.393454,67.38,186,10.475,4,-9.4,-9.2,-12.6
4.2271,8.429,-97.9985,-0.051608,79.73,113,9.923,2.3,-19.5,11.7,-21.8
4.8287,10.267,-93.5411,-0.141697,42.86,67,9.443,2.1,1.5,-12.5,20.4
4.538,11.56,106.0591,0.072026,53.57,200,10.924,2.8,23.1,-24.6,26.5
2.848,11.928,-48.0008,-0.19346,65.89,124,8.847,4.3,29.1,6.3,7.5
3.6674,9.2,108.9941,0.425668,38.55,125,7.986,4.9,15.6,9.2,14.6
0.7375,9.932,-67.0837,0.202248,46.06,166,9.477,3.5,-7.1,-12.1,25.3
4.8571,11.452,-1.7258,0.513828,55.85,53,9.367,3.5,-8.7,18.5,-13.8
3.0431,9.192,109.4544,0.231839,60.63,170,7.896,3.7,35.4,-9.7,-26.4
3.3253,10.635,91.7175,0.780505,72.35,168,10.215,4.1,-13.7,14.1,10.2
1.2368,11.829,-46.7027,0.49028,67.49,90,8.498,2.5,4.8,13.5,-12.8
2.4749,10.983,124.0481,0.505148,33.18,183,8.173,4.2,2.8,-12.4,-19.5
1.9288,11.277,-33.4544,-0.183077,50.07,132,7.857,4.5,21.6,22,-12.6
3.7272,11.039,-45.7282,0.677929,39.89,129,9.43,4,-29.2,9.7,-16
4.374,11.567,-18.4699,0.726921,45.72,194,7.489,4.8,-4,0.9,21.6
1.9217,10.013,97.49,0.56631,36.36,65,9.548,2.9,-25.4,-18.4,-28
4.433,8.337,14.1364,-0.365597,58.88,64,7.867,4.8,-23.9,1,24.3
2.0112,11.789,99.6774,-0.168536,46.54,160,8.216,2.4,15.2,-18.2,-4.2
0.5419,10.916,30.1527,0.772531,43.96,145,7.378,2.3,24.7,-9.5,21.6
3.8211,8.164,-91.6407,0.272858,68.19,173,10.982,4.4,10.3,13.7,-17.3
0.3736,10.309,-57.2008,0.364419,74.16,76,7.752,5,32.2,8.4,-11.6
4.2929,10.369,-5.1391,-0.196139,70.45,165,10.035,2.2,-14.8,20,25.2
4.3841,8.085,92.9266,-0.215925,32.67,129,7.502,3.3,7.4,13.5,-2.9
4.1929,9.422,67.2014,0.731683,67.49,184,8.325,4.6,23,-10.2,17.2
4.6678,9.426,136.2947,0.705637,46.06,137,9.968,2.2,-26.4,14.8,5.6
4.381,8.192,27.0917,-0.199571,56.01,155,7.491,3.5,-24.6,-0.9,17.6
1.0698,10.193,-60.475,-0.07514,39.23,132,9.16,3.3,13.9,11,-26.2
2.8185,11.121,108.9843,-0.37558,33.25,146,9.411,3.8,18.9,-3.4,-18.2
4.6605,9.483,132.5657,-0.307506,60.33,164,8.32,5,-0.1,14.8,27.7
4.2064,9.697,114.6217,-0.413731,52.23,127,9.83,3.1,10.5,-6.4,24.2
1.8109,9.391,62.7534,0.617052,66.04,63,10.567,5,38.4,11.2,2.9
0.8415,10.472,-104.0846,0.304066,34.21,136,8.913,3.2,-2.7,6.6,1.1
0.5127,8.265,-51.564,0.568441,77.7,55,7.066,4.8,-6.9,19.6,-23.3
1.5503,9.533,35.438,-0.075565,55.74,99,9.508,4.9,12.4,7.1,3.3
1.0463,11.814,-11.7201,-0.229123,52.97,84,9.57,2.3,-2.3,20.5,-28.9
1.9236,11.04,-72.3952,0.222929,56.05,124,8.988,3.4,43.7,-20.9,12.9
0.7319,8.215,93.435,0.068309,34.21,150,10.831,2.7,-9.6,2,-19.3
3.815,11.903,134.8647,0.132239,43.18,187,7.022,4.2,-24.3,24,9.3
4.3062,8.805,68.9111,-0.039456,38.35,172,8.443,4.9,-18.7,-2.4,-25.3
3.306,10.724,-1.5789,0.736345,66.61,89,8.983,4,5.6,-8.7,-24.8
2.2989,11.929,59.7666,0.07028,70.1,136,10.185,2.1,37.6,10.9,-4.6
4.3044,10.351,5.4963,-0.211619,73.83,171,8.942,2,24.7,22.6,25.8
4.8409,10.311,75.2324,0.44147,74.89,92,10.567,4,20.5,-21.4,-9.6
1.4687,8.6,-94.2425,0.305788,60.83,180,8.89,4.5,-3,-10.4,-21.1
1.8297,9.639,132.7362,0.558393,41.05,102,8.099,4.5,8.3,-16,23.3
2.7838,10.82,24.9882,-0.470052,57.03,116,8.919,3.2,27,-25,4.9
4.8249,8.688,-26.5222,-0.122777,51.51,66,9.975,3.3,19.8,-11.9,-24.7
1.6316,9.417,45.869,0.645393,48,162,9.662,3.5,25.7,-15.6,5.5
1.1877,10.684,-42.8676,-0.175422,77.84,161,10.15,3.4,-29.5,-5.3,16.6
4.2239,10.695,9.2633,-0.101127,77.54,107,9.98,2.4,-11.5,-20,-3.1
0.5968,9.022,-101.409,-0.347357,57.29,60,10.141,2.5,-29.1,-5,13.6
4.6995,9.3,68.9119,-0.485104,71.34,58,7.742,3.6,-5.5,15.5,-13.5
4.8652,11.137,5.0502,-0.231448,38.55,117,8.072,4.3,40,-12.3,-24.9
4.3321,8.089,-86.6774,0.283592,58.98,164,7.208,3.9,9.1,-23.9,-22.3
4.6344,9.41,-92.1768,-0.006804,47.63,115,9.376,2.8,4.1,3.6,29.3
2.3783,11.351,42.7078,-0.172669,41.44,129,10.024,2.7,9,-23.6,11.5
4.5065,8.607,72.282,0.403579,39.06,99,7.549,3.3,0.6,-2.8,25.3
4.7989,8.554,-30.6123,-0.282742,58.53,64,10.124,2.2,-27.2,2.6,-20.8
4.9906,9.544,-10.2781,-0.430628,35.32,167,8.278,4,41.4,-23.2,18.4
2.0212,10.015,119.3589,0.721311,62.34,197,10.028,4,14.2,-18,7.2
3.4444,8.78,3.3147,0.365666,32.47,86,9.978,4,-20,20.4,22.7
2.9561,10.822,115.5573,0.584936,53.04,68,9.612,4.1,44.5,1.6,-5.2
3.1428,8.876,75.5538,-0.369014,69.1,89,10.186,4.2,0.1,-15.2,-5.5
1.6151,8.582,-106.1441,0.437485,58.97,74,9.406,4,28,0.9,8.7
0.0678,8.03,-3.6058,0.046769,36.57,113,8.55,3.4,-20.1,-12.5,0
0.0688,9.059,70.6313,-0.456829,40.06,104,8.311,4.7,10.9,23.3,27
1.1585,8.608,-103.5189,0.59616,55.61,144,9.105,3.4,-1.5,5.7,26.5
3.3819,11.92,-78.4037,-0.150636,32.99,178,9.3,3.6,1.3,-7.4,-9.1
4.7628,10.007,-102.9147,-0.493946,59.34,183,9.288,2,39.9,3.6,8.7
3.0314,9.707,-63.1561,-0.213608,32.31,108,10.696,3.4,34,-14.2,10.4
0.3336,8.051,50.5792,0.014568,32.33,151,7.771,2.7,29.1,3.1,-5
4.8842,9.929,-14.239,-0.212282,48.97,91,8.232,2,-29.8,24.5,8
4.7675,10.559,114.2669,-0.337581,68.83,64,8.289,5,-15.5,13.6,-28.2
3.1023,11.521,87.6299,0.485774,68.09,182,8.906,2.7,12,-10.8,-29.6
4.8995,9.378,68.2361,0.084188,46.9,193,8.939,4.3,40.1,9.3,12.4
2.8826,11.122,97.1346,-0.388511,67.36,140,7.482,4.4,8.7,20.5,2.9
4.7068,10.478,95.3865,0.122097,35.03,109,8.736,4.5,-21.8,-5.8,-14.9
1.2937,8.962,-73.0539,0.651333,42.01,86,9.051,4.1,-24.3,18.7,25.5
3.8451,11.537,113.585,-0.370748,73.3,162,10.393,4,-3.4,21.6,-23.7
1.6795,8.855,-76.9493,-0.044352,66.61,151,10.389,2.3,-15,22.5,12.8
4.7826,8.065,-31.2576,-0.467212,41.39,68,7.839,2.2,31.7,-15.6,1.9
3.4678,10.09,-98.4428,-0.517033,68.05,121,7.673,4.2,20.6,23,-21.5
3.298,10.472,29.1701,-0.063265,64.42,196,8.607,3.7,-12.9,-17.3,-8.9
0.7164,9.542,101.3125,0.543781,79.95,161,9.952,4.4,39.5,-2.3,27.1
4.3656,9.023,140.9219,0.45003,63.04,41,8.646,2.5,33.9,4.8,-15.1
1.8348,11.609,-46.4916,-0.143393,79.83,137,7.674,3.6,28.6,4.4,-23.3
2.1733,8.505,-37.0623,0.120201,71.41,107,8.399,3.5,2.2,6.2,-19.7
2.2744,9.16,-101.5121,0.491069,79.54,124,7.26,2.9,24.8,10.6,-29.3
0.819,10.999,8.5714,-0.165579,52.21,196,7.496,4.9,35.9,-11.6,7.2
4.1619,9.473,-53.9692,-0.159557,59.51,179,7.194,3.5,-28.3,1.9,21.4
0.3709,11.353,-76.7323,-0.308797,47.57,67,8.838,2.2,39.8,-15.3,28.7
3.0161,8.264,-64.8029,-0.03275,61.56,94,9.68,2.3,8.9,20.6,-7.8
3.0085,8.233,-6.4507,0.003998,57.85,46,8.29,5,0.2,24.3,5.1
4.7494,11.245,86.3093,0.516352,33.72,132,9.574,2,-2,-11.9,25
1.7981,9.651,8.3235,0.361002,53.52,99,9.951,4.4,-24,-22.1,9.5
1.4699,11.006,-36.0593,0.622097,47.75,156,8.704,3.2,17.6,0.7,9.6
1.8403,8.865,53.1301,0.246594,43.58,192,7.141,5,-7,15.1,-1.3
1.1059,8.442,-81.9682,0.32443,35.03,98,8.43,3.5,-11.8,20.7,5.2
3.7818,11.206,21.6502,-0.134074,47.52,113,8.646,4.7,-10.3,8.8,17
1.6381,11.022,73.4802,0.452943,36.68,69,10.009,2,9.9,-18.6,17.2
0.0115,10.504,44.5301,0.132733,40.61,153,9.261,2.1,7,-21.8,7.4
0.8092,9.909,102.5802,0.487803,79.57,105,8.521,3.1,11.1,-21.9,-26.3
4.062,8.752,-28.6197,0.065596,70.83,86,8.737,3.6,0.3,-10.1,6.7
0.7706,10.892,-5.3505,-0.324483,79.04,86,7.226,3,-13.4,-5.6,4.7
2.5245,10.803,-36.9261,0.08617,67.65,180,7.542,2.9,9.4,-2.4,-21.8
1.0319,9.879,95.6763,-0.360574,52.65,138,8.533,2.3,-25.1,9.3,-7.4
3.7606,11.67,42.745,-0.203883,76.45,171,9.816,3.3,3.9,-17.6,-8.4
3.6263,8.572,7.0751,0.755283,59.55,164,8.757,3.3,42.2,-9.9,9
0.8508,9.003,11.3449,-0.457935,45.11,42,7.068,3.6,5.3,-6.4,19.3
4.4376,10.801,106.7922,-0.146168,40.14,159,8.808,4.8,36.5,19.8,27
1.3466,11.074,-23.4381,0.699728,54.07,139,10.937,4.1,-15.5,10,6.2
3.8988,9.724,0.5792,-0.08245,51,65,9.967,2.1,-2.9,6.8,13.2
1.6231,10.514,-18.1308,0.23958,66.16,89,10.207,4.3,31.4,10.5,-10.3
3.0674,11.113,140.9672,0.741825,46.94,192,7.942,4.5,-13.2,10,-20
0.714,9.761,105.2946,0.556851,79.31,183,10.193,3.6,5.3,-15.4,-25.5
2.5895,11.474,-100.773,0.33193,77.19,189,9.949,5,34.2,1.2,-25.7
0.8208,11.037,40.9748,0.211676,62.19,193,7.121,2.4,40.9,-12.6,14.9
1.213,9.748,-2.1219,0.264553,47.08,180,10.044,3,0.6,-21.8,-9.1
0.6837,10.377,127.5704,-0.000383,50.31,61,9.465,4.2,29.1,-12.4,-21.2
4.3064,10.165,124.0226,0.138878,50.6,41,8.014,3.9,31.6,-8,-26.5
0.8321,11.601,-17.0683,-0.277269,53.44,54,9.039,4.7,26.7,-13.2,13.8
3.0941,9.294,-50.895,-0.408315,36.86,101,9.428,3.3,26.2,10.9,5.1
3.0054,9.052,3.2144,-0.147073,61.04,189,8.816,3.8,16.1,6,24.2
4.9003,10.195,-17.7436,0.545456,36.01,196,10.901,2.2,39.1,-23,9.5
3.8585,10.296,-91.3343,-0.364478,53.29,46,7.697,2.5,1.5,-0.6,28.6
4.0177,11.386,72.6209,-0.355862,68.17,163,10.225,4.3,-6.8,-21.9,-5.4
2.7001,8.154,91.2029,0.688329,35.47,40,8.774,4.1,-14.8,16.3,-25.2
0.8734,10.867,41.3321,-0.48682,32.15,45,7.345,2.6,43,24.5,-11.3
4.4934,11.146,140.906,-0.18256,52.14,139,8.997,3.7,8.3,12.4,4
3.9316,11.658,-26.7824,-0.498843,60.44,139,7.599,3,31.5,7,28
1.4632,10.795,3.5365,0.263659,54.51,44,10.667,4.5,-4.1,12.4,-26.7
0.4627,10.495,-100.2751,0.370966,63.51,73,7.311,4.1,-2.5,0.8,10.5
1.2336,11.28,13.2183,0.414229,75.99,176,9.117,3.2,1.9,10.4,-8.5
1.4399,10.601,101.2736,-0.020754,55.02,199,10.174,4.3,42.1,-3.9,-8.3
3.7866,9.74,-37.0819,0.575627,52.25,163,9.072,2.2,26,16.3,-12.6
0.4371,11.293,98.0049,-0.021378,75.6,72,7.295,3.4,22.7,-3.3,-3.9
4.9678,9.837,104.3559,0.217883,69.84,186,9.563,3.7,-19.4,-6.8,25
2.4654,9.618,142.9539,-0.132303,31.55,124,7.706,4,38.1,-15.5,-7.8
1.1704,9.412,74.3826,0.086306,54.04,178,10.336,2.3,-0.4,-6.8,-5.7
2.19,8.223,58.5253,0.569372,55.68,87,8.413,5,27.1,-15.3,10.1
3.3124,10.939,140.0612,-0.352373,45.38,140,10.985,4.4,16.5,-0.3,24.5
0.3103,8.971,19.1102,0.189106,47.13,85,10.871,4.6,-1.1,-19,-0.6
4.5039,8.343,146.9822,0.714493,74.3,139,8.137,3.3,2.9,-9.4,12.7
3.682,8.199,-41.7557,0.092039,76.57,191,9.629,4.2,1.2,-3.7,-24
3.6857,9.892,6.375,-0.119743,70.1,61,7.074,5,-18.2,18.1,-17.1
3.8596,10.556,-51.0663,0.373586,58.05,175,7.514,2.4,39.2,22.4,22.4
0.9339,9.573,103.3512,-0.07477,46.41,180,9.262,3.8,27,-9.7,29.7
0.3415,9.103,26.4385,0.772799,77.98,118,9.107,3.7,39.4,1.7,-10.8
4.4701,11.293,38.8005,0.063146,49.54,51,9.663,3.2,17.5,-7.1,-3.3
1.9496,9.951,-74.1483,0.464002,74.86,161,7.53,3.2,-12.4,7.2,-0.2
4.979,9.109,51.7205,-0.308386,46,183,10.93,3.5,22.6,17.6,-0.2
1.7823,8.964,61.5084,-0.333125,76.07,63,10.681,4.1,31,-8.7,-3.8
1.4343,9.055,-71.879,0.245349,39.76,61,7.376,4.3,22.9,-25,0.2
0.5364,8.14,-73.8197,-0.356778,78.82,134,10.11,3.6,28.7,-1,1.5
1.3245,10.824,125.7958,0.297321,35.55,56,9.786,4.9,-3.9,-18.3,-5.2
0.3962,9.59,61.3966,0.524514,41.31,163,8.572,2,40,15.2,1.1
3.6552,9.864,-11.2662,0.583491,69.89,188,10.39,4.8,-17.5,23.4,14.4
4.2541,10.584,28.4347,0.176454,50.87,109,10.801,3.7,8.3,-19.3,5.7
1.8128,11.645,21.1371,-0.511508,35.9,108,7.368,4.7,-5.2,-6.9,7.7
0.2231,8.095,-63.331,-0.089265,32.98,45,8.447,2.1,22.3,23.4,1.3
3.272,10.65,12.9688,-0.404437,53.71,56,7.39,4.3,24.1,14,7.7
2.0842,9.207,119.362,0.524192,75.99,41,7.516,2.7,6.9,-8.3,-7.5
2.0525,10.954,126.6829,-0.178891,65.47,83,7.191,2.2,30.5,22.9,26
2.0349,9.675,-40.7043,0.605241,60.39,68,7.174,4.1,-17.7,-15.6,21.3
2.8079,10.975,13.4327,0.783864,61.86,106,7.73,3.6,20.8,18.4,20.7
0.2569,9.403,-35.0214,0.660471,70.96,184,10.137,3.6,20.1,-24.9,19.7
4.0437,10.618,61.5911,0.639153,61.42,40,8.956,3.1,20.8,-23.6,-29.6
1.7004,11.913,-8.8437,0.120557,63.61,59,9.465,2.1,26.9,4.4,23.4
4.0285,10.785,21.8749,-0.429821,44.82,147,7.141,3.9,-21.5,-1,-8.5
2.599,10.59,1.5155,0.476007,42.09,199,9.737,4.6,34.5,-7.6,-12.8
1.5494,8.012,-29.4624,0.230254,50.35,50,7.688,4.8,-27.9,-2.7,-29.4
2.192,10.964,69.9322,0.22862,73.12,136,9.121,3.5,-2.7,-18.7,-13.3
3.9465,10.236,-102.9327,0.262421,37.46,103,7.403,2.6,32.6,-22,12.6
0.473,8.373,64.845,0.420491,47.21,88,8.961,3.2,41.7,4.4,-15.3
4.6278,10.903,30.7287,0.573769,51.83,44,7.017,2.4,-14.9,13.8,13.6
4.0549,11.984,-21.4343,-0.499551,67.04,172,9.396,3.7,24.2,16.8,1
4.645,10.998,82.8422,-0.35406,75.28,102,8.761,3.2,-5,14.3,19.2
1.7795,8.589,-19.2529,0.084906,65.97,111,8.552,3.8,5.3,-20.4,23.1
1.5669,9.009,134.1551,0.295157,73.48,94,9.369,3,36.3,10.2,4.7
2.9609,8.544,-59.5548,0.441768,69.26,162,10.132,4.4,13.9,2.7,17.4
1.2654,9.971,30.2788,0.54576,61.55,183,10.719,3.8,25.9,10.3,-4.3
3.1223,8.501,-46.2197,0.209545,39.74,164,8.209,2.6,-3.8,21.1,14.8
3.1576,10.426,-98.8874,0.755665,46.46,107,10.264,3.4,30.8,-12.6,15
0.1054,8.181,-8.7184,-0.255991,54.09,140,8.045,4.2,9.7,18.5,29
3.1896,9.551,-43.315,-0.180672,75.4,109,7.901,3.6,3.5,13.5,1.3
1.1595,10.875,124.8654,0.687527,31.8,60,9.965,2.4,-9.7,-21.8,21.4
4.0883,9.205,-63.07,0.703112,60.75,131,10.537,2.9,40,-17.1,-16.6
4.779,10.35,-67.0373,-0.235417,44.17,121,7.626,2.4,28.7,9.6,0.2
0.7871,8.412,125.342,-0.356334,62.44,81,7.503,4.5,-24.6,-1.6,-26.5
4.5778,10.77,95.2296,0.121401,76.89,109,7.76,4.8,30.8,17.5,28.1
2.1652,9.716,60.1089,-0.183614,47.22,183,8.439,3.2,13,-7.7,5.5
1.5069,8.072,38.0888,0.357818,46.29,160,10.344,4,32.9,-10.1,3.9
0.6127,8.188,-36.2757,0.367916,51.48,142,9.089,2.7,12.2,23.1,-28.4
3.8023,10.311,68.5288,0.617736,55.75,127,8.788,4.7,-11.1,3,-22.6
3.7715,11.007,-60.8977,0.329212,33.53,64,8.626,5,10.5,0.5,-11.5
4.3373,11.921,-37.7329,0.51089,68.44,42,8.304,5,7.5,5,27.6
0.4717,8.829,-16.6039,-0.512581,66.82,109,10.965,2.5,5.4,2.4,23.5
2.6842,8.213,-71.0671,0.288734,78.03,53,8.961,4.7,-27.3,24.7,-5
4.2353,11.755,133.5883,0.31858,49.27,199,9.389,4.2,39.1,-5.7,21.4
4.1396,8.47,-81.1605,-0.369627,63.36,150,8.818,4,-19.1,10.2,-2.3
1.1836,11.959,114.8218,0.352913,60.65,75,7.799,2.3,31.8,22.2,14.8
4.7776,11.963,-69.7077,0.743259,34.42,159,7.685,4.7,28.5,15.9,14.6
2.2076,10.383,138.3007,0.767493,41.91,123,9.8,3.6,8.8,3.6,10.2
3.661,8.478,78.6999,-0.345931,77.54,103,9.935,3.9,-4.4,17.9,-15.3
1.0018,11.276,119.9609,-0.050255,69.08,103,10.74,2.5,4.5,19.9,-1.1
4.0661,8.115,-38.9293,0.113361,74.81,176,10.242,3.1,6,16.4,12.6
2.5798,9.887,83.2905,-0.09187,74.23,197,10.779,4.3,13.5,6.6,11.4
0.2787,8.159,52.2483,0.564151,40.62,62,10.678,3.7,1.4,7.1,-6.4
0.7305,11.2,11.788,0.628754,38.98,170,7.09,4.4,6.6,-6.4,-16.1
2.3174,10.556,-2.0373,0.045027,54.57,170,7.211,2,-0.6,16.8,2.2
1.4657,10.262,119.8459,-0.42194,34.4,139,8.698,4.7,2.5,-15.2,13.5
0.5886,10.712,-63.3519,-0.472619,40.76,135,10.296,4.7,33.5,-16.8,-8.4
2.6243,10.973,57.7603,-0.019211,39.52,82,8.977,4.6,3.7,-4.3,-19.3
0.4195,9.238,-4.1593,0.465231,63.77,52,8.309,3.9,44.4,-14,22.3
4.2626,9.477,32.4693,-0.13983,30.44,134,10.169,3.2,31.7,7.1,-10.4
3.9645,11.446,117.3796,0.183363,75.14,98,8.043,4.1,18,1.3,6.4
0.2976,8.231,94.6921,0.414609,31.75,123,9.654,4.9,14.2,-5.8,0.5
0.7965,11.358,47.3554,0.494581,40.73,77,10.324,3.1,42,-7.4,16.5
0.4925,11.449,18.508,0.136629,76.07,172,7.85,4.6,-0.6,-0.5,-19.5
2.7619,10.863,101.0552,0.024851,52.72,101,10.89,2.8,42,0.2,-27.1
3.1897,11.116,-34.2281,0.415086,60.36,90,8.853,2.7,36.5,-0.9,-0.9
0.1108,8.079,-10.1774,0.061734,59.32,139,10.998,2.2,-30,20,-25.9
2.8036,9.87,84.3851,-0.148709,39.49,62,8.538,3.5,-14.6,5.8,20.2
2.8977,8.266,-45.8841,-0.354751,68.01,140,9.853,2.2,-26.9,-7.5,28.2
3.4991,10.943,124.5054,0.270564,43.4,100,7.657,2.2,-19.7,-24.5,7.1
2.354,9.502,58.8005,-0.248796,53.7,161,10.776,2.5,0.5,8.5,8.2
3.7213,9.565,128.0552,-0.178117,63.45,108,9.864,2.1,28.3,-7,-23.9
4.8548,8.302,48.1014,-0.464395,31.35,87,10.328,4.3,-5.5,-13.4,-27.2
4.833,9.635,-61.8787,-0.348198,66.12,123,10.641,3.9,-14.9,3.1,-24.7
0.7318,11.088,98.3404,0.075962,45.38,110,8.844,3.8,-19.6,19,-6.5
0.1853,10.567,10.1241,0.635176,33.57,70,10.955,4.7,-3,10,10.2
4.2075,11.195,-52.8919,-0.467272,59.1,51,7.268,2.6,25.5,-16,17.1
2.1036,9.398,-22.816,0.763747,77.24,70,9.851,4,9.6,9.5,-9
